id;placed_date;status;code;customer_id
1;2021-10-07T12:49:31;COMPLETED;Electronics;1
2;2021-10-07T07:11:30;COMPLETED;payment PCI violet;2
3;2021-10-07T17:40:23;CANCELLED;background out-of-the-box withdrawal;2
4;2021-10-06T21:43:24;COMPLETED;Music real-time;1
5;2021-10-07T05:47:33;CANCELLED;Hat;1
6;2021-10-07T18:32:21;PENDING;solid navigating;2
7;2021-10-07T04:28:07;PENDING;Toys maroon;2
8;2021-10-07T17:17:41;COMPLETED;Developer;2
9;2021-10-07T00:46:05;COMPLETED;Credit Soft Cotton;1
10;2021-10-07T15:28:41;CANCELLED;contingency Bedfordshire;2
